Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
1,22,female,2,own,little,moderate,5951,48,radio/TV
3,45,male,2,free,little,little,7882,42,furniture/equipment
4,53,male,2,free,little,little,4870,24,car
7,35,male,3,rent,little,moderate,6948,36,car
9,28,male,3,own,little,moderate,5234,30,car
10,25,female,2,rent,little,moderate,1295,12,car
11,24,female,2,rent,little,little,4308,48,business
12,22,female,2,own,little,moderate,1567,12,radio/TV
13,60,male,1,own,little,little,1199,24,car
14,28,female,2,rent,little,little,1403,15,car
15,32,female,1,own,moderate,little,1282,24,radio/TV
18,44,female,3,free,little,moderate,12579,24,car
21,44,male,2,rent,quite rich,little,2647,6,radio/TV
22,48,male,1,rent,little,little,2241,10,car
23,44,male,2,own,moderate,moderate,1804,12,car
25,36,male,1,own,little,little,1374,6,furniture/equipment
27,42,female,2,rent,rich,rich,409,12,radio/TV
28,34,male,2,own,little,moderate,2415,7,radio/TV
29,63,male,2,own,little,little,6836,60,business
30,36,male,2,own,rich,moderate,1913,18,business
31,27,male,2,own,little,little,4020,24,furniture/equipment
32,30,male,2,own,moderate,moderate,5866,18,car
34,33,female,3,own,little,rich,1474,12,furniture/equipment
35,25,male,1,own,little,moderate,4746,45,radio/TV
37,37,male,2,own,little,rich,2100,18,radio/TV
38,37,male,2,own,little,rich,1225,10,domestic appliances
39,24,male,2,own,little,moderate,458,9,radio/TV
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV
42,44,male,1,own,little,moderate,6204,18,repairs
43,24,male,2,rent,moderate,little,6187,30,car
44,58,female,1,free,little,little,6143,48,car
47,23,female,0,rent,quite rich,little,1352,6,car
51,30,male,3,own,little,moderate,5965,27,car
54,57,male,2,free,little,moderate,2225,36,car
58,23,female,3,own,little,rich,1961,18,car
59,23,female,1,rent,little,little,6229,36,furniture/equipment
60,27,male,2,own,little,moderate,1391,9,business
62,61,male,3,free,little,moderate,1953,36,business
63,25,male,2,own,little,moderate,14421,48,business
67,22,male,2,own,rich,moderate,1007,12,car
72,51,male,3,free,little,little,1164,8,vacation/others
73,41,female,1,own,little,moderate,5954,42,business
75,66,male,3,free,little,little,1526,12,car
76,34,male,2,own,little,little,3965,42,radio/TV
77,51,male,2,own,little,moderate,4771,11,radio/TV
79,22,male,2,own,little,moderate,3832,30,furniture/equipment
83,58,female,1,own,little,little,1755,24,vacation/others
84,52,male,1,own,little,little,2315,10,radio/TV
86,27,female,2,own,little,moderate,1295,18,furniture/equipment
87,47,male,2,free,moderate,moderate,12612,36,education
88,30,male,3,own,moderate,little,2249,18,car
89,28,male,2,own,little,little,1108,12,repairs
91,54,male,2,own,little,little,1409,12,car
94,54,male,2,own,rich,moderate,1318,12,car
95,58,male,2,rent,little,moderate,15945,54,business
97,34,male,2,own,moderate,moderate,2622,18,business
98,36,male,2,own,little,moderate,2337,36,radio/TV
101,24,male,2,rent,little,moderate,2323,36,radio/TV
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment
105,39,male,3,own,little,moderate,11938,24,vacation/others
107,32,male,2,own,little,moderate,6078,12,car
109,35,male,2,own,quite rich,moderate,1410,14,business
110,31,male,2,own,moderate,moderate,1449,6,business
111,23,female,2,rent,little,rich,392,15,education
112,28,male,1,rent,little,moderate,6260,18,car
114,35,male,2,own,quite rich,little,1680,12,radio/TV
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment
119,36,male,3,own,quite rich,moderate,2366,12,car
120,25,female,2,own,little,little,1835,21,radio/TV
123,63,male,2,free,little,rich,781,10,car
125,30,male,2,own,little,little,2121,12,car
126,40,male,1,own,little,little,701,12,radio/TV
127,30,male,2,own,little,moderate,639,12,repairs
128,34,male,3,own,little,moderate,1860,12,car
129,29,female,2,own,little,little,3499,12,car
131,29,male,2,own,little,little,6887,36,education
137,66,male,1,own,quite rich,moderate,766,12,radio/TV
139,44,female,1,rent,little,rich,1881,12,radio/TV
140,27,male,0,own,rich,rich,709,6,car
141,30,female,3,own,little,moderate,4795,36,radio/TV
142,27,male,3,own,little,little,3416,27,radio/TV
143,22,male,2,own,little,little,2462,18,furniture/equipment
145,30,male,2,own,moderate,moderate,3566,48,business
146,39,female,2,own,little,little,860,6,car
148,28,male,2,own,little,little,5371,36,furniture/equipment
152,24,male,2,own,little,rich,5848,36,radio/TV
153,29,female,2,rent,rich,moderate,7758,24,car
154,36,male,3,rent,moderate,moderate,6967,24,business
155,20,female,2,rent,little,little,1282,12,furniture/equipment
156,48,male,2,own,moderate,little,1288,9,repairs
157,45,male,1,own,little,little,339,12,education
158,38,male,2,own,moderate,moderate,3512,24,car
163,70,male,3,free,little,moderate,7308,10,car
166,33,female,2,own,little,little,1131,18,furniture/equipment
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment
169,31,male,2,own,little,moderate,1935,24,business
170,33,male,2,rent,little,little,950,15,car
172,34,female,3,own,little,moderate,2064,24,furniture/equipment
173,33,male,2,own,little,moderate,1414,8,radio/TV
174,26,male,2,own,little,little,3414,21,education
176,42,male,2,own,little,little,2577,12,furniture/equipment
177,52,male,2,own,quite rich,little,338,6,radio/TV
179,65,male,2,own,little,little,571,21,car
181,30,male,3,own,little,moderate,4455,36,business
184,36,male,2,own,little,moderate,884,18,car
186,74,female,3,free,little,moderate,5129,9,car
187,68,male,0,free,little,moderate,1175,16,car
188,20,male,2,own,moderate,little,674,12,radio/TV
189,33,female,2,own,little,moderate,3244,18,furniture/equipment
191,34,male,1,free,moderate,moderate,3844,48,business
192,36,male,2,own,little,moderate,3915,27,business
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV
195,34,female,3,own,little,moderate,1501,9,education
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment
199,40,male,3,own,little,moderate,4297,18,furniture/equipment
201,27,male,1,own,little,little,1168,12,car
203,21,male,2,rent,little,little,902,12,education
205,38,male,3,free,little,little,10623,30,car
207,26,male,2,own,little,moderate,1424,12,domestic appliances
208,21,male,1,own,little,little,6568,24,business
212,50,male,2,own,little,little,5293,27,business
213,66,male,3,own,little,rich,1908,30,business
216,31,male,2,own,little,little,3104,18,business
217,23,male,2,own,little,rich,3913,36,radio/TV
218,24,male,1,rent,little,little,3021,24,furniture/equipment
220,26,male,1,own,little,moderate,625,12,radio/TV
226,27,male,2,own,rich,moderate,10961,48,radio/TV
227,53,male,3,free,little,little,7865,12,furniture/equipment
229,22,male,2,free,little,little,3149,24,furniture/equipment
230,26,male,2,own,little,rich,4210,36,radio/TV
233,25,male,1,own,little,moderate,866,18,radio/TV
235,30,male,3,own,little,little,1823,24,radio/TV
237,61,male,1,rent,moderate,moderate,2767,21,business
239,39,male,2,own,little,little,2522,30,radio/TV
242,24,male,2,free,little,little,4605,48,car
248,26,male,2,own,little,rich,1925,24,furniture/equipment
250,39,female,1,own,rich,little,666,6,car
251,46,female,1,own,little,rich,2251,12,furniture/equipment
252,24,female,2,own,little,moderate,2150,30,car
257,29,male,2,free,little,little,2149,12,radio/TV
260,27,male,2,own,little,little,1657,12,furniture/equipment
261,55,female,2,own,little,little,1603,24,radio/TV
262,36,male,3,free,little,little,5302,18,car
265,37,male,2,own,little,moderate,802,15,radio/TV
268,45,male,3,own,little,little,8978,14,car
273,28,male,2,own,little,moderate,3060,48,radio/TV
274,34,male,1,own,little,little,11998,30,repairs
284,37,male,2,own,moderate,moderate,3878,24,car
285,35,female,1,own,little,little,10722,47,car
286,26,male,2,own,little,little,4788,48,car
287,31,male,3,free,moderate,moderate,7582,48,vacation/others
288,49,female,2,own,little,moderate,1092,12,radio/TV
289,48,male,2,own,little,little,1024,24,radio/TV
291,28,male,3,rent,little,moderate,9398,36,car
292,44,female,3,free,little,little,6419,24,car
293,56,male,2,free,little,rich,4796,42,car
295,26,female,2,own,little,moderate,9960,48,furniture/equipment
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment
301,42,female,2,own,little,moderate,3804,36,radio/TV
303,49,male,2,own,little,little,1038,10,car
307,33,male,1,own,moderate,little,727,12,radio/TV
308,24,female,2,own,little,moderate,1237,8,furniture/equipment
309,22,male,1,rent,little,moderate,276,9,car
312,26,female,2,own,little,rich,3749,24,furniture/equipment
313,25,male,1,own,little,moderate,685,12,car
315,31,male,2,own,little,little,2746,36,furniture/equipment
316,38,male,1,own,little,little,708,12,furniture/equipment
319,27,female,1,own,little,little,3643,15,furniture/equipment
320,28,male,3,own,little,moderate,4249,30,car
321,32,male,2,own,little,little,1938,24,radio/TV
322,34,male,3,free,little,little,2910,24,car
323,28,male,2,own,rich,little,2659,18,furniture/equipment
325,39,male,1,own,little,little,3398,8,car
328,31,male,2,own,little,rich,4473,36,radio/TV
329,28,male,2,own,little,moderate,1068,6,radio/TV
330,75,male,3,free,little,little,6615,24,car
332,24,female,3,own,moderate,moderate,7408,60,car
334,23,male,2,rent,little,little,4110,24,furniture/equipment
335,44,male,3,rent,little,little,3384,6,furniture/equipment
336,23,female,1,own,little,moderate,2101,13,radio/TV
338,28,male,2,own,little,little,4169,24,furniture/equipment
339,31,male,1,own,little,moderate,1521,10,furniture/equipment
340,24,female,2,free,little,moderate,5743,24,education
341,26,female,1,rent,little,little,3599,21,furniture/equipment
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV
343,33,male,3,own,little,moderate,4439,18,business
344,37,male,1,own,little,rich,3949,10,car
346,23,male,2,own,little,moderate,882,13,radio/TV
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV
349,32,male,2,free,rich,moderate,1136,9,education
351,29,female,2,own,little,moderate,959,9,furniture/equipment
353,28,male,2,rent,little,little,6199,12,radio/TV
355,23,male,1,own,little,moderate,1246,24,car
359,23,female,2,rent,little,little,2406,30,furniture/equipment
362,36,female,2,own,little,rich,2247,12,car
364,25,male,0,own,little,little,2473,18,furniture/equipment
367,22,female,2,rent,little,little,3650,18,furniture/equipment
368,42,male,2,own,little,little,3446,36,furniture/equipment
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment
374,60,female,3,free,moderate,moderate,14782,60,vacation/others
375,37,female,2,rent,little,little,7685,48,business
378,57,male,3,free,little,moderate,14318,36,car
381,38,female,3,free,little,moderate,12976,18,car
383,26,male,2,own,little,rich,1330,12,car
387,40,male,3,own,little,moderate,7374,18,furniture/equipment
388,27,male,2,own,quite rich,moderate,2326,15,business
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment
392,39,male,3,free,little,little,3249,36,car
393,31,female,2,own,little,little,1957,6,radio/TV
395,32,male,2,rent,moderate,moderate,11760,39,education
396,55,female,3,free,little,little,2578,12,furniture/equipment
397,46,male,2,own,little,little,2348,36,furniture/equipment
398,46,male,2,rent,little,moderate,1223,12,car
405,22,male,2,own,little,moderate,2039,24,radio/TV
407,27,male,2,own,little,little,1053,15,radio/TV
409,28,male,2,own,quite rich,rich,939,12,car
410,20,female,2,own,little,moderate,1967,24,radio/TV
416,33,male,1,own,little,little,2579,12,car
422,47,male,1,own,little,moderate,958,12,car
425,21,male,2,rent,little,moderate,2779,18,car
429,55,female,0,free,little,little,1190,18,repairs
431,29,male,3,own,little,moderate,11328,24,vacation/others
432,36,male,3,free,little,little,1872,6,furniture/equipment
434,25,male,2,own,little,little,2136,9,furniture/equipment
438,65,male,0,own,little,little,3394,42,repairs
439,26,female,0,own,little,rich,609,12,business
441,30,female,2,own,little,little,1620,12,furniture/equipment
442,29,male,2,own,little,moderate,2629,20,vacation/others
444,30,female,3,own,little,moderate,5096,48,furniture/equipment
446,34,female,2,own,little,little,1842,36,car
447,35,male,2,own,little,moderate,2576,7,radio/TV
449,61,male,2,own,rich,moderate,1512,15,repairs
454,31,male,2,own,little,little,4817,24,car
456,36,male,2,rent,little,little,3905,11,car
457,35,male,2,free,little,little,3386,12,car
458,27,female,2,own,little,little,343,6,domestic appliances
460,37,male,2,own,little,little,3620,36,furniture/equipment
461,36,male,2,own,little,little,1721,15,car
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment
465,63,male,2,own,little,little,2924,24,car
466,29,female,1,rent,little,little,1659,24,radio/TV
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV
471,23,female,2,own,little,little,448,6,education
472,28,male,1,own,little,little,654,9,car
474,33,male,2,own,little,moderate,1245,18,radio/TV
475,26,female,2,rent,little,little,3114,18,furniture/equipment
477,25,male,2,own,little,rich,5152,24,radio/TV
478,39,male,1,own,moderate,moderate,1037,12,business
479,44,male,2,own,little,little,1478,15,furniture/equipment
480,23,female,1,own,little,moderate,3573,12,radio/TV
481,26,male,2,own,little,moderate,1201,24,car
482,57,female,2,rent,rich,little,3622,30,furniture/equipment
485,47,male,3,own,little,moderate,1209,6,car
491,42,female,3,free,little,moderate,8318,27,business
494,39,male,1,rent,little,little,2122,12,car
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment
498,32,male,1,own,little,moderate,1301,18,radio/TV
499,28,male,2,own,moderate,rich,1323,6,car
500,27,female,2,own,little,little,3123,24,car
501,42,male,2,free,little,little,5493,36,car
502,49,male,2,own,moderate,rich,1126,9,radio/TV
503,38,male,2,own,moderate,moderate,1216,24,radio/TV
504,24,female,2,rent,little,little,1207,24,car
506,36,male,2,own,quite rich,rich,2360,15,car
507,34,male,3,own,moderate,moderate,6850,15,car
510,26,male,2,own,little,little,759,12,car
512,26,male,2,rent,little,rich,2687,15,business
513,20,male,2,rent,little,moderate,585,12,radio/TV
515,37,female,2,own,little,little,609,6,car
516,40,male,1,own,little,little,1361,6,car
518,43,male,2,own,moderate,little,1203,6,car
521,24,female,2,own,little,little,3190,18,radio/TV
522,53,male,2,free,little,little,7119,48,furniture/equipment
524,26,female,1,own,little,moderate,1113,18,radio/TV
525,30,male,2,own,little,moderate,7966,26,car
528,31,male,2,rent,little,little,2302,36,radio/TV
529,41,male,1,own,little,little,662,6,car
530,32,male,2,own,little,moderate,2273,36,education
531,28,female,2,rent,moderate,moderate,2631,15,car
535,33,male,2,rent,little,rich,2319,21,education
537,37,female,2,own,little,moderate,3612,18,furniture/equipment
538,42,male,3,free,little,little,7763,48,car
539,45,female,1,own,little,rich,3049,18,furniture/equipment
540,23,male,2,rent,little,moderate,1534,12,radio/TV
543,34,male,1,own,little,rich,2864,18,furniture/equipment
545,43,male,2,free,little,little,1333,24,car
548,24,female,1,own,little,little,626,12,radio/TV
552,34,male,2,own,little,little,6999,48,radio/TV
553,27,male,2,own,moderate,moderate,1995,12,car
554,67,female,3,own,little,moderate,1199,9,education
555,22,male,2,own,little,moderate,1331,12,radio/TV
556,28,female,2,own,moderate,moderate,2278,18,car
558,27,male,2,own,little,little,3552,24,furniture/equipment
559,31,male,1,own,little,moderate,1928,18,furniture/equipment
561,24,male,1,rent,little,little,1546,24,radio/TV
562,29,female,2,own,little,rich,683,6,radio/TV
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV
566,36,male,2,own,little,little,1372,12,car
569,31,female,2,own,little,little,6758,48,radio/TV
570,23,female,1,rent,little,little,3234,24,furniture/equipment
573,22,female,1,own,little,little,806,15,business
574,27,male,1,own,little,moderate,1082,9,radio/TV
576,27,female,2,own,little,moderate,2930,12,radio/TV
578,27,male,2,own,little,moderate,2820,36,car
580,30,male,2,own,little,moderate,1056,18,car
581,49,male,1,own,little,moderate,3124,12,car
583,33,male,1,rent,little,moderate,2384,36,repairs
585,20,female,2,rent,little,little,2039,18,furniture/equipment
586,36,male,2,rent,little,little,2799,9,car
587,21,male,1,own,little,little,1289,12,furniture/equipment
588,47,male,1,own,little,little,1217,18,domestic appliances
589,60,male,2,own,little,little,2246,12,furniture/equipment
590,58,female,1,own,little,little,385,12,radio/TV
593,20,female,1,rent,little,moderate,2718,24,car
595,32,female,1,own,moderate,moderate,931,6,car
596,23,female,2,rent,little,little,1442,24,car
597,36,male,1,own,little,moderate,4241,24,business
600,45,female,2,own,little,moderate,2329,7,radio/TV
601,30,female,2,own,little,moderate,918,9,furniture/equipment
602,34,female,1,free,little,moderate,1837,24,education
604,23,female,2,own,little,rich,1275,10,furniture/equipment
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment
607,50,female,2,free,moderate,moderate,2671,36,radio/TV
610,22,female,2,own,moderate,little,741,12,domestic appliances
611,48,female,1,free,moderate,rich,1240,10,car
612,29,female,2,own,rich,little,3357,21,radio/TV
613,22,female,2,rent,little,little,3632,24,car
617,37,male,2,rent,little,little,3676,6,car
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment
620,27,male,2,own,little,moderate,3652,21,business
623,22,female,2,rent,little,little,1858,12,furniture/equipment
624,65,male,2,free,little,little,2600,18,radio/TV
626,41,male,2,own,little,rich,2116,6,furniture/equipment
627,29,male,2,own,moderate,moderate,1437,9,car
630,28,female,2,own,little,little,3660,24,radio/TV
631,44,male,2,own,little,little,1553,18,furniture/equipment
634,25,female,1,own,little,moderate,1355,24,car
639,26,male,2,own,little,little,4370,42,radio/TV
640,27,female,0,own,little,little,750,18,education
641,38,male,1,own,little,moderate,1308,15,repairs
644,32,male,3,own,little,little,1880,18,radio/TV
646,32,male,2,own,little,little,4583,30,furniture/equipment
648,38,male,2,free,little,rich,947,24,car
649,40,male,1,rent,little,little,684,12,education
650,50,male,3,free,little,little,7476,48,education
651,37,male,1,own,little,moderate,1922,12,furniture/equipment
652,45,male,2,own,little,little,2303,24,car
653,42,male,3,own,moderate,moderate,8086,36,car
655,22,male,2,free,little,little,3973,14,car
656,41,male,1,own,little,moderate,888,12,car
658,28,female,2,own,little,moderate,4221,30,business
659,41,male,2,own,little,moderate,6361,18,furniture/equipment
660,23,male,2,rent,little,rich,1297,12,radio/TV
663,35,male,3,own,little,moderate,1050,6,furniture/equipment
664,50,female,1,own,little,rich,1047,6,education
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment
668,43,male,2,rent,little,little,4843,12,car
669,47,male,2,own,little,rich,3017,30,radio/TV
677,24,male,2,own,moderate,moderate,5595,72,radio/TV
678,64,male,1,rent,little,little,2384,24,radio/TV
684,31,male,1,own,moderate,moderate,9857,36,business
687,30,male,2,free,moderate,moderate,2862,36,car
689,31,male,2,own,rich,little,3651,12,car
690,25,male,2,own,little,little,975,15,furniture/equipment
691,25,female,1,own,moderate,moderate,2631,15,repairs
692,29,male,2,own,moderate,moderate,2896,24,radio/TV
696,29,male,2,own,little,moderate,1103,12,radio/TV
699,40,male,3,rent,little,rich,1905,15,education
701,46,male,2,free,little,little,6331,48,car
702,47,female,2,free,moderate,rich,1377,24,radio/TV
703,41,male,2,own,moderate,moderate,2503,30,business
704,32,female,2,own,little,moderate,2528,27,business
706,24,male,2,own,moderate,moderate,6560,48,car
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment
708,25,female,2,own,little,moderate,1206,9,radio/TV
709,37,male,1,own,little,moderate,2118,9,radio/TV
711,35,female,2,free,little,little,1198,6,education
713,25,male,1,own,little,little,1138,9,radio/TV
714,27,male,3,own,little,moderate,14027,60,car
719,31,male,2,own,moderate,moderate,6148,20,car
720,34,male,3,own,little,rich,1337,9,radio/TV
721,24,female,2,rent,rich,moderate,433,6,education
722,24,female,1,own,little,little,1228,12,car
723,66,female,1,own,quite rich,moderate,790,9,radio/TV
727,25,female,2,rent,little,little,1882,18,radio/TV
728,59,female,2,rent,little,moderate,6416,48,business
729,36,male,2,own,rich,rich,1275,24,business
730,33,male,2,own,little,moderate,6403,24,radio/TV
731,21,male,1,rent,little,little,1987,24,radio/TV
732,44,female,1,own,little,moderate,760,8,radio/TV
736,23,female,3,rent,little,moderate,11560,24,car
737,35,male,1,own,moderate,little,4380,18,car
739,26,female,1,rent,moderate,moderate,4280,30,business
740,32,male,2,own,moderate,little,2325,24,car
741,23,male,1,own,little,moderate,1048,10,radio/TV
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment
745,28,male,1,own,little,little,1797,13,business
746,23,female,2,rent,little,little,2511,15,car
747,37,female,1,own,little,little,1274,12,car
750,49,female,2,own,little,little,428,6,furniture/equipment
751,23,female,1,own,little,little,976,18,car
752,23,female,1,rent,moderate,moderate,841,12,business
756,74,male,0,own,little,rich,1299,6,car
759,35,male,2,own,little,little,691,12,car
761,24,female,2,rent,little,little,2124,18,furniture/equipment
762,24,male,1,own,little,little,2214,12,radio/TV
765,40,male,1,own,little,moderate,1155,12,radio/TV
766,31,male,1,own,little,little,3108,30,furniture/equipment
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment
771,25,female,3,own,little,little,8065,36,education
774,66,male,0,free,quite rich,rich,1480,12,car
777,25,female,2,own,little,little,3509,18,radio/TV
779,67,female,2,own,little,moderate,3872,18,repairs
780,25,male,2,own,little,moderate,4933,39,radio/TV
782,31,male,1,own,little,moderate,1410,12,education
783,23,female,1,own,moderate,moderate,836,12,car
785,35,male,1,own,rich,moderate,1941,18,business
788,50,male,2,free,little,moderate,6224,48,education
789,27,male,2,own,little,little,5998,40,education
790,39,female,2,own,little,moderate,1188,21,business
793,51,male,2,free,little,rich,2892,24,furniture/equipment
801,48,female,1,rent,little,moderate,1795,18,radio/TV
802,24,female,2,own,little,little,4272,20,furniture/equipment
805,24,male,2,own,little,little,9271,36,car
806,26,male,1,own,little,moderate,590,6,radio/TV
808,55,male,3,free,little,moderate,9283,42,car
809,26,female,0,rent,little,moderate,1778,15,car
810,26,male,2,own,little,moderate,907,8,business
811,28,male,1,own,little,moderate,484,6,radio/TV
812,24,male,2,own,little,little,9629,36,car
813,54,male,2,own,little,little,3051,48,domestic appliances
814,46,male,2,free,little,little,3931,48,car
815,54,female,2,rent,little,moderate,7432,36,car
818,43,male,3,own,little,little,15857,36,vacation/others
819,26,male,2,own,little,little,1345,18,radio/TV
821,24,male,2,own,little,rich,3016,12,radio/TV
822,41,male,2,own,little,little,2712,36,furniture/equipment
823,47,male,1,own,little,little,731,8,car
825,30,male,2,own,little,little,1602,21,car
826,33,female,2,rent,little,little,3966,18,car
831,23,female,2,rent,little,little,1216,18,car
832,29,male,2,rent,little,little,11816,45,business
834,25,female,1,own,little,rich,2327,15,radio/TV
835,48,male,2,own,little,little,1082,12,car
838,63,male,2,own,little,little,2957,24,car
840,29,male,2,own,little,little,5179,36,furniture/equipment
848,59,male,2,own,little,little,1364,9,radio/TV
849,57,male,1,own,little,little,709,12,radio/TV
850,33,male,2,rent,little,little,2235,20,car
853,32,male,1,free,little,little,1442,18,car
858,29,female,2,own,little,little,3959,15,car
862,35,female,2,own,little,little,2439,24,radio/TV
866,27,female,2,own,little,little,2389,18,radio/TV
869,24,female,2,rent,little,little,652,12,furniture/equipment
871,46,male,2,own,little,rich,1343,6,car
872,26,male,2,own,moderate,little,1382,24,business
874,29,male,1,own,little,little,3590,12,furniture/equipment
875,40,female,2,own,rich,moderate,1322,11,car
876,36,male,3,free,little,little,1940,18,radio/TV
878,27,male,3,free,little,little,1422,9,car
884,43,male,2,own,little,moderate,4057,24,furniture/equipment
885,53,female,2,own,little,little,795,12,education
887,23,male,2,own,little,moderate,15672,48,business
890,43,male,3,own,little,little,2442,27,business
892,38,male,1,own,little,little,2171,12,car
893,34,male,2,own,little,moderate,5800,36,car
896,28,female,3,rent,little,little,2606,21,radio/TV
899,42,male,2,own,little,little,4153,18,furniture/equipment
900,43,male,2,rent,little,little,2625,16,car
905,20,male,3,rent,little,little,1107,12,radio/TV
911,25,female,1,own,little,moderate,4736,24,furniture/equipment
914,31,male,2,rent,little,little,3161,24,business
915,32,female,3,own,little,moderate,18424,48,vacation/others
917,68,male,3,own,little,little,14896,6,car
918,33,male,2,own,moderate,little,2359,24,furniture/equipment
919,39,male,3,rent,little,little,3345,24,furniture/equipment
922,22,female,2,rent,little,little,1366,9,radio/TV
923,30,male,2,rent,little,moderate,2002,12,car
924,55,male,2,own,little,little,6872,24,furniture/equipment
925,46,male,2,own,little,little,697,12,car
926,21,female,2,rent,little,little,1049,18,furniture/equipment
927,39,male,2,free,little,little,10297,48,car
929,43,male,1,own,little,little,1344,12,car
930,24,male,1,own,little,little,1747,24,furniture/equipment
931,22,female,2,own,little,moderate,1670,9,radio/TV
934,23,female,2,own,little,little,1498,12,radio/TV
935,30,male,3,own,moderate,moderate,1919,30,radio/TV
936,28,female,1,own,little,rich,745,9,radio/TV
937,30,male,3,rent,little,moderate,2063,6,radio/TV
938,42,male,2,free,little,moderate,6288,60,education
944,46,female,2,rent,little,little,1845,15,furniture/equipment
945,30,female,2,own,quite rich,moderate,8358,48,car
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment
950,40,male,0,own,little,moderate,3590,18,business
951,24,male,2,own,little,little,2145,36,business
952,28,female,2,rent,quite rich,moderate,4113,24,car
954,29,female,2,own,little,little,1893,12,car
955,57,female,3,rent,rich,little,1231,24,radio/TV
957,37,male,1,own,little,moderate,1154,9,radio/TV
958,45,male,1,own,little,little,4006,28,car
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment
961,47,male,2,own,little,moderate,2353,21,car
964,22,male,1,own,little,moderate,454,6,repairs
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV
969,40,male,1,own,little,little,3939,11,car
970,22,male,2,own,moderate,moderate,1514,15,repairs
972,29,female,0,rent,little,little,1193,24,car
973,36,male,2,rent,little,little,7297,60,business
975,57,female,1,own,quite rich,rich,1258,24,radio/TV
976,64,female,2,own,little,moderate,753,6,radio/TV
979,25,male,2,rent,moderate,moderate,1264,15,car
980,49,male,2,own,little,moderate,8386,30,furniture/equipment
982,28,female,3,own,moderate,rich,2923,21,car
983,26,male,2,own,little,little,8229,36,car
985,25,female,2,rent,little,little,1433,15,furniture/equipment
986,33,male,2,own,little,rich,6289,42,business
988,29,male,3,free,little,little,6579,24,car
989,48,male,1,own,little,moderate,1743,24,radio/TV
993,30,male,3,own,little,little,3959,36,furniture/equipment
996,40,male,3,own,little,little,3857,30,car
998,23,male,2,free,little,little,1845,45,radio/TV
999,27,male,2,own,moderate,moderate,4576,45,car
